Company Name,Title,Description,Location,Started On,Finished On
The Good Shelf,Technical Intern,,Bengaluru,Jul 2026,
AWS Cloud Club SUIIT,President,,"Sambalpur, Odisha, India",Nov 2025,
GitHub,Open Source Contributor,"Apache, CNCF, Webpack, Kubernetes, DBpedia, LibreOffice, OSGeo, AsyncAPI, Open- StreetMap  Java — TypeScript — Distributed Systems  – Active contributor across 15+ global open-source projects, including Apache Wayang, Maven Compiler Plugin,  CloudStack ecosystem, Webpack, Thread Loader, Kubernetes Headlamp, DBpedia, LibreOffice, and OSGeo.  – Authored and merged high-impact pull requests improving compiler behavior, distributed processing, and build tooling  (e.g., fixing Maven annotation processing, Webpack VLQ decoding, and Thread Loader error handling with 1600+ LOC changes).  – Contributed to CI/CD pipelines, testing infrastructure, and linting systems, improving code quality and automation  workflows across projects.  – Collaborated with global maintainers, actively participating in PR discussions (20+ review threads) and issue tracking across  GitHub ecosystems.  – Worked on diverse domains including geospatial systems (PostGIS/OSGeo), big data (Wayang, DBpedia), frontend tooling (Webpack), and cloud-native systems (Kubernetes).   – Consistent contributor with 100+ commits in 2026, spanning Java, TypeScript, and JavaScript across real-world  production-grade systems. ",,Feb 2025,
Google Cloud Skills Boost,Google cloud practitioner ,,,Oct 2024,Nov 2024
Government Of India,Student Ambassador,Student Ambassador Of New Education Policy-2020 In India,,Sep 2024,Oct 2024
